id,name,shopurl,category,wangwang,market,tel,qq,address,wechat,years,source
19,"衣之舞大码",https://www.vvic.com/shop/33030,"连衣裙",justyan820307,"国大",15622289767,569475182,"国大 1楼B区 B106-C",sprite521521,8,"广东省 广州"
20,"沐橙服饰",https://www.vvic.com/shop/62187,"连衣裙",tb553549349,"国大",18813960812,294444926,"国大 1楼B区 B106-D",muchengfushi,0,"广东省 广州"
21,"志兵服饰",https://www.vvic.com/shop/22343,"连衣裙","志兵服饰2015","国大",13670213369,2740594089,"国大 1楼B区 B107-A",ouyang13670213369,6,"广东省 广州"
22,"星慧衣品",https://www.vvic.com/shop/45382,"连衣裙","1354940244星宇","国大","18929597340,17762339935",381917370,"国大 1楼B区 B107-B",zhenghuimin668,3,"广东省 广州"
23,"星品旗舰",https://www.vvic.com/shop/55978,"连衣裙","星宇优衣","国大",18929597340,381917370,"国大 1楼B区 B107-B1",zhenghuimin668,0,"广东省 广州"
24,"唯衣佳人",https://www.vvic.com/shop/32545,"蕾丝衫/雪纺衫","汪瑜88805285665","国大","15914338736,13711745565",1689222973,"国大 1楼B区 B107-C",wang222198,4,"广东省 广州"
25,"唯衣佳人2店",https://www.vvic.com/shop/45369,"","z曾俊66","国大",13711745565,573915386,"国大 1楼B区 B107-D",zjvvyu,0,"广东省 广州"
26,"陌上花开",https://www.vvic.com/shop/46369,"连衣裙",xiaoy91,"国大","15626022684,18688907750",641097325,"国大 1楼B区 B108-A",MOshang-19,0,"广东省 广州"
27,"韩伊人",https://www.vvic.com/shop/51067,"连衣裙","","国大","15626022684,18688907750",641097325,"国大 1楼B区 B108-A1",xueping-blue,0,"广东省 广州"
28,"O.Y.家衣橱",https://www.vvic.com/shop/54542,"连衣裙",tortoiseoyp,"国大",18620806767,1733020846,"国大 1楼B区 B108-B",OY_18620806767,0,"广东省 广州"
29,"O.Y.家衣橱二店",https://www.vvic.com/shop/58914,"连衣裙","美颜美妆828","国大",18620806767,1733020846,"国大 1楼B区 B108-B1",OY_18620806767,0,"广东省 广州"
30,"小哪吒",https://www.vvic.com/shop/33316,"连衣裙","大圈_小圈","国大","18802080838,13726725668",809110310,"国大 1楼B区 B108-E",liusi900109,8,"广东省 广州"
31,"衣尚旗舰店",https://www.vvic.com/shop/58332,"连衣裙",fengwen19888,"国大",18771698752,841018228,"国大 1楼B区 B109-A",xcr116526,0,"广东省 广州"
32,"茉莉旗舰店",https://www.vvic.com/shop/58254,"连衣裙","甄梵棹","国大",13545382900,468959186,"国大 1楼B区 B109-B",pxdcvxcxxdszxxxszmzk,0,"广东省 广州"
33,"佳欣大码女装店",https://www.vvic.com/shop/57361,"套装","嘟嘟美衣时尚女装1","国大","13856676278,15268506279",1030317166,"国大 1楼B区 B110-A",why13856676278,2,"广东省 广州"
34,"初见网红定制",https://www.vvic.com/shop/62843,"连衣裙","","国大","18605663001,18358167655",630175070,"国大 1楼B区 B110-B",wanghui19870825,0,"广东省 广州"
35,"嘟嘟美衣",https://www.vvic.com/shop/56195,"连衣裙","魅力无限精品女装1","国大","13856676278,15268506279",1030317166,"国大 1楼B区 B110-C",why13856676278,2,"广东省 广州"
36,"衣度服饰",https://www.vvic.com/shop/58842,"连衣裙","衣度网批","国大","18605663001,18358167655",630175070,"国大 1楼B区 B110-D",wanghui19870825,0,"广东省 广州"
37,"喜洋洋内衣店",https://www.vvic.com/shop/63543,"","","国大",19924715852,1136038877,"国大 1楼B区 B110-G",why19924715852,0,"广东省 广州"
38,"甜甜发",https://www.vvic.com/shop/58876,"T恤","20131212博博","国大",13560444666,79174623,"国大 1楼B区 B111-A",ZMB444666,0,"广东省 广州"
39,"甜甜发-2店",https://www.vvic.com/shop/60172,"T恤","金浦国鼻","国大",13560444666,79174623,"国大 1楼B区 B111-A1",ZMB444666,0,"广东省 广州"
40,"杜杜家",https://www.vvic.com/shop/25044,"衬衫","傻得_可爱","国大","18688945558,15099973885",410317693,"国大 1楼B区 B112",ZSYY58,7,"广东省 广州"
41,"杜杜家 实拍店",https://www.vvic.com/shop/59376,"大码女装","黑玫瑰520520","国大","18688945558,15099973885",410317693,"国大 1楼B区 B112-A",ZSYY58,0,"广东省 广州"
42,"小苍爆",https://www.vvic.com/shop/31187,"衬衫","贱到你狠高兴","国大",18672842460,3814606410,"国大 1楼B区 B112-B",dyqccc,4,"广东省 广州"
43,"韩妃子服饰",https://www.vvic.com/shop/61453,"连衣裙",tb116717_22,"国大","13729895273,18620116717",1379778895,"国大 1楼B区 B112-E",fongzhai9987,0,"广东省 广州"
44,"大码盛宴",https://www.vvic.com/shop/30068,"其他服装","李晚霞张","国大","18675948310,18664528028",604092783,"国大 1楼B区 B112-F",li18664528028,4,"广东省 广州"
45,"点琦服饰",https://www.vvic.com/shop/28514,"","斌斌潮服62923272","国大",13710309942,1003354348,"国大 1楼B区 B112-G","",5,"广东省 广州"
46,"点琦服饰实拍店",https://www.vvic.com/shop/27050,"","点琦服饰","国大",13719461158,466959874,"国大 1楼B区 B112-G1",wangfeng895336,5,"广东省 广州"
47,"小田美依",https://www.vvic.com/shop/63146,"T恤","爱衣阁服饰总店","国大",13710110992,2734290058,"国大 1楼B区 B113",wxid_bxem9iz3hi5d11,0,"广东省 广州"
48,"佰伊坊女装",https://www.vvic.com/shop/55836,"","飞钰莫属","国大",18665628285,780164093,"国大 1楼B区 B114-A",liuwenyu930,0,"广东省 广州"
49,"新耀女装",https://www.vvic.com/shop/46697,"连衣裙","风雨服饰377429963","国大",18665632053,2186509525,"国大 1楼B区 B114-B",zyf4sd,0,"广东省 广州"
50,"佰伊坊实拍店",https://www.vvic.com/shop/51626,"","冰淇淋930","国大",18665628285,780164093,"国大 1楼B区 B114-C",liuwenyu930,0,"广东省 广州"
51,"十八家旗舰店",https://www.vvic.com/shop/20562,"套装","恒茂商城","国大",18565522952,1371811225,"国大 2楼B区 B201-A",shibajia888,9,"广东省 广州"
52,"婉景服饰大码连衣裙",https://www.vvic.com/shop/26296,"连衣裙",whp693177965,"国大","17070876865,18502074685",693177965,"国大 2楼B区 B201-B",wanjingfushi888,7,"广东省 广州"
53,"创业衣代",https://www.vvic.com/shop/53269,"连衣裙",lm1990201201,"国大","17070876865,18502074685",409523242,"国大 2楼B区 B201-C",mjx20120108,0,"广东省 广州"
54,"杰卓网络服饰",https://www.vvic.com/shop/28495,"连衣裙","巨人心","国大",13533834002,545237052,"国大 2楼B区 B202-A",liubing1040,8,"广东省 广州"
55,"杰卓服饰",https://www.vvic.com/shop/14373,"T恤","龚跃林","国大",13533834002,545237052,"国大 2楼B区 B202-B",liubing1040,8,"广东省 广州"
56,"广州寶琪时装",https://www.vvic.com/shop/26319,"",chenghao2137,"国大",18502007342,781539562,"国大 2楼B区 B202-C","",5,"广东省 广州"
57,"盼盼服饰",https://www.vvic.com/shop/28693,"衬衫","三禾商贸行","国大","13066370664,13286878973",960070703,"国大 2楼B区 B203-B",yuzhe2014921,7,"广东省 广州"
58,"小雨家",https://www.vvic.com/shop/25171,"衬衫","梦之衣旅","国大",13066370664,349323173,"国大 2楼B区 B203-B1",yuzhe2014921,7,"广东省 广州"
59,"仙姿服饰店",https://www.vvic.com/shop/59232,"连衣裙",kaaide321,"国大",13268077912,625694538,"国大 2楼B区 B203-D",fafa91188,0,"广东省 广州"
60,"艾米丽网络服饰",https://www.vvic.com/shop/15725,"连衣裙","新潮时尚女装aa","国大",18620785684,2199937185,"国大 2楼B区 B203-E","",6,"广东省 广州"
61,"艾米丽",https://www.vvic.com/shop/17924,"连衣裙","有钱花自然醒吃嘛嘛香","国大",18620785684,2199937185,"国大 2楼B区 B203-E1","",0,"广东省 广州"
62,"美舵服饰",https://www.vvic.com/shop/62030,"","","国大",13316875396,714507609,"国大 2楼B区 B203-F",zhyanha,0,"广东省 广州"
63,"纤纤服饰",https://www.vvic.com/shop/25562,"连衣裙","莎莎姐1986","国大",18062497303,275242121,"国大 2楼B区 B204",jiangsha8695,6,"广东省 广州"
64,"港风衣舍",https://www.vvic.com/shop/51705,"连衣裙","19860514徐","国大",18062497303,2750146851,"国大 2楼B区 B204-A",xuwenlong7104,0,"广东省 广州"
65,"依依家服饰",https://www.vvic.com/shop/21792,"连衣裙","流金岁月429","国大",18672687238,176498132,"国大 2楼B区 B205-A",lilan18672687238,6,"广东省 广州"
66,"桃子时装",https://www.vvic.com/shop/46955,"衬衫","刘军梅服饰","国大",18318946457,1140457747,"国大 2楼B区 B205-B",Yan19955858,10,"广东省 广州"
67,"依依家时装",https://www.vvic.com/shop/14273,"连衣裙","南星1003","国大",18672687238,176498132,"国大 2楼B区 B205-C",lilan18672687238,6,"广东省 广州"
68,"佳佳服饰",https://www.vvic.com/shop/24556,"衬衫","相约在广州小丽","国大",15915730736,2471479280,"国大 2楼B区 B205-D","",8,"广东省 广州"
69,"雅玟服饰2",https://www.vvic.com/shop/51331,"连衣裙","王小波服饰","国大",13726729402,1140457747,"国大 2楼B区 B205-E",lxhawxb1314,0,"广东省 广州"
70,"宇轩服饰",https://www.vvic.com/shop/13542,"衬衫","刘军梅服饰","国大","18318946457,15112191719",844982941,"国大 2楼B区 B205-F","",10,"广东省 广州"
71,"美丽坊",https://www.vvic.com/shop/50769,"衬衫","张壮佳65","国大","13682795620,15992584293",574159103,"国大 2楼B区 B206-A",zhanglili5314,6,"广东省 广州"
72,"小西家",https://www.vvic.com/shop/60442,"T恤","kkk尚品","国大","13682795620,15992584293",574159103,"国大 2楼B区 B206-B",zhanglili5314,0,"广东省 广州"
73,"青青叶子服饰",https://www.vvic.com/shop/51311,"连衣裙",wei15889576818,"国大",13922302889,821112406,"国大 2楼B区 B206-C",xsj821112406,0,"广东省 广州"
74,"丰如意服饰",https://www.vvic.com/shop/58503,"衬衫",wei15889576818,"国大",13922302889,821112406,"国大 2楼B区 B206-C1",xsj821112406,0,"广东省 广州"
75,"米拉家服饰",https://www.vvic.com/shop/56800,"套装",zhangweiqin2016,"国大",15013187350,1785747683,"国大 2楼B区 B206-D",ruxuan1108,0,"广东省 广州"
76,"豪梦缘服饰",https://www.vvic.com/shop/19405,"连衣裙","美依服饰2015","国大","13928916958,13925028498",1771219280,"国大 2楼B区 B208",b891221b,6,"广东省 广州"
77,"惜人妃",https://www.vvic.com/shop/40185,"蕾丝衫/雪纺衫","优雅似我","国大","13539949607,15917428012",499826106,"国大 2楼B区 B208-B",lc_good1234,4,"广东省 广州"
78,"依往情深  港味馆",https://www.vvic.com/shop/51090,"套装","丨呦丨","国大",13926005856,527129596,"国大 2楼B区 B209-A",chengziyan8866,0,"广东省 广州"
79,"熙媛服饰",https://www.vvic.com/shop/40588,"其他","林壮442695411","国大","15971249814,13822276516",442695411,"国大 2楼B区 B210-A",kuang1223,7,"广东省 广州"
80,"金多多",https://www.vvic.com/shop/33335,"休闲裤/打底裤",liuxiyuan20110805,"国大",13640844955,282494012,"国大 2楼B区 B210-B",tianguo891110,4,"广东省 广州"
81,"金多多大码女裤",https://www.vvic.com/shop/46477,"休闲裤/打底裤","轩辕任性哥","国大",13640844955,282494012,"国大 2楼B区 B210-B1",tianguo891110,0,"广东省 广州"
82,"梦梦网络服饰",https://www.vvic.com/shop/59593,"半身裙",tb70808846,"国大","18320057343,18529437407",450386060,"国大 2楼B区 B210-D",M18320057343,0,"广东省 广州"
83,"熙媛服饰1号店",https://www.vvic.com/shop/55109,"","匡敬19911223","国大",15971249814,929180678,"国大 2楼B区 B210-E",kuang1223,0,"广东省 广州"
84,"淑啦啦服饰",https://www.vvic.com/shop/55443,"大码女装",ni851302268,"国大","13560392046,15814802272",2609170874,"国大 2楼B区 B211-A",w2609170874,0,"广东省 广州"
85,"淘町服饰",https://www.vvic.com/shop/55384,"衬衫",tb254220826,"国大","13060940629,13710695356",965633347,"国大 2楼B区 B211-B",Liang13060940629,0,"广东省 广州"
86,"琳琳女装实拍店",https://www.vvic.com/shop/62631,"连衣裙","唐琴学","国大",18154379029,476335330,"国大 2楼B区 B211-C",A18154379029,0,"广东省 广州"
87,"琳琳女装",https://www.vvic.com/shop/60893,"连衣裙","香水百合885858","国大",18154379029,476335330,"国大 2楼B区 B211-D",A18154379029,0,"广东省 广州"
88,"雅玟服饰",https://www.vvic.com/shop/13436,"连衣裙","王小波服饰","国大",13726729402,1146847675,"国大 2楼B区 B212","",10,"广东省 广州"
89,"伊曼丽潮流服饰",https://www.vvic.com/shop/13814,"T恤",tb524016662,"国大",13434335544,281249070,"国大 2楼B区 B213-A","",8,"广东省 广州"
90,"伊曼丽妍妍店",https://www.vvic.com/shop/16079,"T恤","妍妍215192964","国大","15918712653,13527866637,13527878439",1490869980,"国大 2楼B区 B213-B","",8,"广东省 广州"
91,"青涩985",https://www.vvic.com/shop/56514,"套装","慧兴达1490869980","国大",13527878439,215192964,"国大 2楼B区 B213-C",HUI--19331,0,"广东省 广州"
92,"百合牛仔",https://www.vvic.com/shop/59148,"","ceet达达","国大",16620402583,244319548,"国大 2楼B区 B213-D",yimanl215,0,"广东省 广州"
93,"爱尚依时尚潮流服饰",https://www.vvic.com/shop/61546,"套装","爱尚依时尚潮流服饰","国大",13556016495,3190494031,"国大 2楼B区 B213-E",wumuhanyuhan,0,"广东省 广州"
94,"小婉家",https://www.vvic.com/shop/60409,"连衣裙","晚琴1118","国大",18898407568,849929098,"国大 3楼 301",amy585277,0,"广东省 广州"
95,"御尚服饰",https://www.vvic.com/shop/51774,"连衣裙",a904493175,"国大",18679651581,904493175,"国大 3楼 301-A",Just-do-it__Lei,0,"广东省 广州"
96,"羽轩服饰",https://www.vvic.com/shop/62053,"","","国大",17822777256,2810387953,"国大 3楼 301-C",wxid-o4bb9j7usfjr22,0,"广东省 广州"
97,"羽轩阁雅大码女装店",https://www.vvic.com/shop/62780,"","程荣荣云","国大",18102757991,2810387953,"国大 3楼 301-C1",wxid-dbpbzv00jtfj22,0,"广东省 广州"
98,"女装潮店",https://www.vvic.com/shop/34818,"衬衫","女装潮店","国大",15626156230,715338625,"国大 3楼 301-D",feifei0533123,8,"广东省 广州"
99,"金金网络服饰",https://www.vvic.com/shop/50471,"衬衫",tb446209309,"国大",15626156230,2080911260,"国大 3楼 301-D1",feifei0533123,3,"广东省 广州"
100,"御尚网红",https://www.vvic.com/shop/54617,"连衣裙",15622322972hh,"国大",13429988922,745131128,"国大 3楼 301-E",hwj745131128,0,"广东省 广州"
101,"小婉家实拍店",https://www.vvic.com/shop/62572,"","晚琴1118","国大","18925021159,18898407568,17724357386",849929098,"国大 3楼 301-H",wanqin11337510,0,"广东省 广州"
102,"唯一色彩",https://www.vvic.com/shop/13838,"连衣裙",lj9333,"国大",17722855451,1722766545,"国大 3楼 302-A","",10,"广东省 广州"
103,"鑫微微服饰",https://www.vvic.com/shop/26779,"连衣裙","李玉霞756464619","国大",18672852738,756464619,"国大 3楼 302-C",liyuxai18672852738,5,"广东省 广州"
104,"尚品衣格",https://www.vvic.com/shop/18827,"连衣裙",zhaofen900627,"国大","13560150862,13719468948",913361495,"国大 3楼 302-D","",9,"广东省 广州"
105,"思涵潮流服饰",https://www.vvic.com/shop/31764,"大码女装",tanzhuang112754,"国大",18620433719,1085951596,"国大 3楼 302-E1",tanzzhuang,5,"广东省 广州"
106,"源源大码女装",https://www.vvic.com/shop/32432,"T恤","摆卖寂寞","国大","15013178539,15013176876",970918004,"国大 3楼 303-A",xjx15013178539,4,"广东省 广州"
107,"源源大码旗舰店",https://www.vvic.com/shop/58374,"","灬夏末薇凉灬","国大",15013178539,3061438080,"国大 3楼 303-A1",xjx15013178539,0,"广东省 广州"
108,"依衣布舍168",https://www.vvic.com/shop/20739,"半身裙","花仙子wyk","国大",13660743718,2297661557,"国大 3楼 303-E","",8,"广东省 广州"
109,"爱维意",https://www.vvic.com/shop/46823,"短外套/马甲","天意美28","国大","18565598486,18820106785",2969210610,"国大 3楼 304-A",liu450973542,10,"广东省 广州"
110,"D第一站",https://www.vvic.com/shop/40156,"大码女装","1一生携手3","国大","17665190158,13005175158",990511018,"国大 3楼 304-B",liandiexinpangtuo,3,"广东省 广州"
111,"梓衡家",https://www.vvic.com/shop/60766,"连衣裙","男装销售8213","国大",14739493434,514355476,"国大 3楼 304-C",zihongjia1234,0,"广东省 广州"
112,"婷乖乖服饰",https://www.vvic.com/shop/59385,"连衣裙","我们的前世今生131410260","国大",15927771913,731653593,"国大 3楼 304-E",a15927771913,0,"广东省 广州"
113,"咪SO韩流",https://www.vvic.com/shop/24082,"连衣裙",yitongmami,"国大",18620437176,525649511,"国大 3楼 305-A",aps19841014,8,"广东省 广州"
114,"咪SO韩流实拍店",https://www.vvic.com/shop/44870,"连衣裙","浩浩19840914","国大",13016025762,525649511,"国大 3楼 305-A1",aps19841014,5,"广东省 广州"
115,"纤百合服饰",https://www.vvic.com/shop/58385,"连衣裙","纤百合6668","国大","13925162710,15972186633",1012666796,"国大 3楼 305-B",dou20120612,0,"广东省 广州"
116,"纤百合实拍店",https://www.vvic.com/shop/61797,"连衣裙","湖北老买东西","国大","15972186633,13925162710",1012666796,"国大 3楼 305-B1",PJJ8118158,0,"广东省 广州"
117,"妍飘飘服饰",https://www.vvic.com/shop/17476,"",yiyian716,"国大",15218880406,1004988287,"国大 3楼 305-C","",7,"广东省 广州"
118,"妍飘飘",https://www.vvic.com/shop/22123,"T恤","妍飘飘飘","国大",15218880406,1004988287,"国大 3楼 305-C1","",5,"广东省 广州"
119,"靓依坊服饰",https://www.vvic.com/shop/17693,"连衣裙","彩姿艾尔","国大","15818810663,15017576186,13822276409",944532641,"国大 3楼 305-D",cmg944532641,7,"广东省 广州"
120,"靓依坊实拍店",https://www.vvic.com/shop/62940,"半身裙","靓依坊璐依凡","国大",15818810663,944532641,"国大 3楼 305-D1",cmg944532641,0,"广东省 广州"
121,"四季风",https://www.vvic.com/shop/44679,"","可爱的胖姑娘0518","国大",18680258157,783404070,"国大 3楼 306-A",HHQ890125,3,"广东省 广州"
122,"四季风2号店",https://www.vvic.com/shop/46419,"蕾丝衫/雪纺衫","","国大","18680258157,18688852426",783404070,"国大 3楼 306-A1",HHQ890125,0,"广东省 广州"
123,"安迪服饰",https://www.vvic.com/shop/31498,"连衣裙","卢群安2013","国大",13423695385,1051519126,"国大 3楼 306-B",an13423695385,8,"广东省 广州"
124,"墨墨网络服饰",https://www.vvic.com/shop/26077,"套装","墨墨网络服饰","国大",18520702299,1005260517,"国大 3楼 306-C","",5,"广东省 广州"
125,"墨墨手绘实拍",https://www.vvic.com/shop/45779,"套装","周良波78","国大",18520702299,1005260517,"国大 3楼 306-C1",yzx18520702299,3,"广东省 广州"
126,"多米多",https://www.vvic.com/shop/55167,"连衣裙",t_1480079470427_0618,"国大","15920960505,13640881737",2495205095,"国大 3楼 306-D",ZC2495205095,0,"广东省 广州"
127,"多米多网红店",https://www.vvic.com/shop/53311,"连衣裙","小岑子222","国大","13719371189,15920960505",2495205095,"国大 3楼 306-D1",D14748707737,0,"广东省 广州"
128,"佳琦服饰",https://www.vvic.com/shop/54641,"T恤","周全军5512","国大",13826225620,1342936909,"国大 3楼 307-A",a1342936909,0,"广东省 广州"
129,"佳琦网络服饰",https://www.vvic.com/shop/56650,"套装",t_1491885665730_0357,"国大",13826225620,1342936909,"国大 3楼 307-A1",a1342936909,0,"广东省 广州"
130,"主页服饰",https://www.vvic.com/shop/24411,"连衣裙",chh_chh852,"国大",18565078089,906873046,"国大 3楼 307-B",EH_2009,10,"广东省 广州"
131,"小鱼家实拍",https://www.vvic.com/shop/29162,"","chh陈小春","国大",18565078089,3259402728,"国大 3楼 307-B1","",7,"广东省 广州"
132,"赛娜尔2店",https://www.vvic.com/shop/35874,"T恤",weixiao92966803,"国大",13826108065,930568686,"国大 3楼 307-D","",4,"广东省 广州"
133,"赛娜尔服饰",https://www.vvic.com/shop/33525,"T恤","关红波50862973","国大",13826108065,930568686,"国大 3楼 307-D1","",4,"广东省 广州"
134,"菁菁服饰",https://www.vvic.com/shop/53862,"","菁菁学习进步","国大",15871863649,1258985645,"国大 3楼 307-E",wxid-s94fu5ndiif622,0,"广东省 广州"
135,"火火兔服饰",https://www.vvic.com/shop/41979,"连衣裙",shuang456919,"国大",18565304859,992790671,"国大 3楼 307-F",jiashuang456789,5,"广东省 广州"
136,"谷其服饰(自设工厂)",https://www.vvic.com/shop/33562,"连衣裙",lxm13011888628,"国大","13011888269,13011888628",774602059,"国大 3楼 308",lxm1314zhiailjc,4,"广东省 广州"
137,"非凡依潮(自设工厂)",https://www.vvic.com/shop/39786,"连衣裙",lxm13011888628,"国大",13011888269,774602059,"国大 3楼 308-A1",lxm1314zhiailjc,3,"广东省 广州"
138,"夏依阁服饰",https://www.vvic.com/shop/32814,"连衣裙",vb5332400,"国大",15889950482,214177465,"国大 3楼 308-B",zm920826,8,"广东省 广州"
139,"下一站衣社",https://www.vvic.com/shop/35197,"连衣裙","2017夏依阁服饰","国大",15889950482,214177465,"国大 3楼 308-B1","",4,"广东省 广州"
140,"火树林服饰",https://www.vvic.com/shop/40128,"连衣裙","翩吖987789","国大","18898409082,15019825358",369736180,"国大 3楼 309-A",ai_yi_guan,5,"广东省 广州"
141,"火树林网红店",https://www.vvic.com/shop/45150,"连衣裙",tb37646452,"国大","18898409082,15019825358",735015473,"国大 3楼 309-A1",W420363210,3,"广东省 广州"
142,"红岩服饰",https://www.vvic.com/shop/63149,"连衣裙","梦幻之视","国大",18665601650,705853954,"国大 3楼 309-B",liu1988808,0,"广东省 广州"
143,"依路顺  网红定制",https://www.vvic.com/shop/45655,"连衣裙","","国大",18202030099,529626815,"国大 3楼 309-C",yo141029,0,"广东省 广州"
144,"YOYO依阁",https://www.vvic.com/shop/40590,"","","国大","18202030099,15818189990",529626815,"国大 3楼 309-C1",yo141029,3,"广东省 广州"
145,"千百度",https://www.vvic.com/shop/61345,"","彭子风_2008","国大",18520781658,13064990,"国大 3楼 309-E",yf13064990,0,"广东省 广州"
146,"QBD网红爆款",https://www.vvic.com/shop/62607,"","彭子风_2008","国大",18620001898,13064990,"国大 3楼 309-E1",llh13798181758,0,"广东省 广州"
147,"伊贝尔服饰",https://www.vvic.com/shop/62932,"连衣裙","","国大","13925091758,13172090139",1181785738,"国大 3楼 309-F",dai13925891758,0,"广东省 广州"
148,"维依秀",https://www.vvic.com/shop/31143,"衬衫",wl953531230,"国大","13826224958,13381272369",953531230,"国大 3楼 309-G",wl953531230,6,"广东省 广州"
149,"维依秀网红店",https://www.vvic.com/shop/62099,"",tb904547736,"国大",13381272369,244390435,"国大 3楼 309-G1",ch244390435,0,"广东省 广州"
150,"雨梦网络服饰",https://www.vvic.com/shop/17939,"套装",tb23062740,"国大","13006878660,15171544354",1327743005,"国大 3楼 310-A",YM13006878660,7,"广东省 广州"
151,"雨梦网络服饰",https://www.vvic.com/shop/21278,"",asdhajdhasjdhjas,"国大","13006878660,15692002858",1327743005,"国大 3楼 310-A1",YM13006878660,6,"广东省 广州"
152,"鑫宜服饰",https://www.vvic.com/shop/35145,"连衣裙","鸿磊服饰","国大",18719468400,604973263,"国大 3楼 310-B",D1993-1995,8,"广东省 广州"
153,"萱萱服饰A2",https://www.vvic.com/shop/54586,"套装",wujianbing19770727,"国大","13560299405,18972625705",420546022,"国大 3楼 310-D",wjb20121207,0,"广东省 广州"
154,"范范衣橱",https://www.vvic.com/shop/32787,"套装","王52535403","国大",13450397353,2336578013,"国大 3楼 310-E",W13168817029,4,"广东省 广州"
155,"范范衣橱",https://www.vvic.com/shop/31306,"套装","蓝天白云醉西湖","国大","13168817029,13450397353",2336578013,"国大 3楼 310-E1",W13168817029,5,"广东省 广州"
156,"阳光女人",https://www.vvic.com/shop/32513,"连衣裙","饶彩霞2014","国大",18620724812,1195260710,"国大 3楼 310-F","",4,"广东省 广州"
157,"阳光女人",https://www.vvic.com/shop/20138,"连衣裙","付jun99","国大",18620724812,1195260710,"国大 3楼 310-F1",wxid_ik1zh338i2mp21,7,"广东省 广州"
158,"小青青2店",https://www.vvic.com/shop/58833,"连衣裙","铠芯笑笑了","国大",13277288558,3150712892,"国大 3楼 311-A",xj18565391837,0,"广东省 广州"
159,"节节高时尚服饰",https://www.vvic.com/shop/47853,"",pengzhihui136,"国大",13662348766,645599714,"国大 3楼 311-B",wxid_3j8dlhtxll2s21,3,"广东省 广州"
160,"小V家",https://www.vvic.com/shop/54853,"套装","握瑾怀瑜持之以恒","国大",13119572581,896778424,"国大 3楼 311-C",lwei20120120,8,"广东省 广州"
